PQID,CMT,UNM,CAT,Year,Month,Day
69666,3,Björn Antonsson,O,2012,6,5
69658,4,Roland Kuhn,O,2012,6,6
69660,4,Viktor Klang (√),O,2012,6,6
69653,1,Roland Kuhn,O,2012,6,7
69654,1,Patrik Nordwall,O,2012,6,7
69655,4,Patrik Nordwall,O,2012,6,7
69656,2,Patrik Nordwall,O,2012,6,7
69657,2,Patrik Nordwall,O,2012,6,7
69659,2,Patrik Nordwall,O,2012,6,7
69650,1,Viktor Klang (√),O,2012,6,8
69651,1,Viktor Klang (√),O,2012,6,8
69652,2,Patrik Nordwall,O,2012,6,8
69646,1,Viktor Klang (√),O,2012,6,11
69647,1,Viktor Klang (√),O,2012,6,11
69648,8,Jonas Bonér,O,2012,6,11
69214,40,Helena Edelson,O,2012,6,12
69272,50,Helena Edelson,O,2012,6,12
69344,33,Helena Edelson,O,2012,6,12
69645,7,Patrik Nordwall,O,2012,6,12
92198,75,Viktor Klang (√),M,2012,6,12
69582,95,Viktor Klang (√),O,2012,6,13
69607,56,Viktor Klang (√),O,2012,6,13
69639,3,Viktor Klang (√),O,2012,6,13
69640,7,Viktor Klang (√),O,2012,6,13
69641,7,Patrik Nordwall,O,2012,6,13
69642,4,Patrik Nordwall,O,2012,6,13
92361,40,Patrik Nordwall,M,2012,6,13
69635,15,Roland Kuhn,O,2012,6,14
69633,6,Patrik Nordwall,O,2012,6,15
69630,3,Viktor Klang (√),O,2012,6,18
69625,1,Patrik Nordwall,O,2012,6,19
69627,1,Patrik Nordwall,O,2012,6,19
69629,2,Viktor Klang (√),O,2012,6,19
69631,24,Jonas Bonér,O,2012,6,19
69632,9,Patrik Nordwall,O,2012,6,19
69637,6,Roland Kuhn,O,2012,6,19
69638,11,Björn Antonsson,O,2012,6,19
92266,12,Jonas Bonér,M,2012,6,19
69624,17,Viktor Klang (√),O,2012,6,20
69626,1,Björn Antonsson,O,2012,6,20
69628,4,Patrik Nordwall,O,2012,6,20
69596,4,Roland Kuhn,O,2012,6,25
69609,3,Raymond Roestenburg,O,2012,6,25
69616,1,Patrik Nordwall,O,2012,6,25
69618,3,Patrik Nordwall,O,2012,6,25
69620,1,Viktor Klang (√),O,2012,6,25
69621,4,Björn Antonsson,O,2012,6,25
69622,4,Patrik Nordwall,O,2012,6,25
92298,1,Peter Vlugter,M,2012,6,25
92337,14,Roland Kuhn,M,2012,6,25
69605,2,Patrik Nordwall,O,2012,6,26
92380,13,Björn Antonsson,M,2012,6,26
69598,2,Patrik Nordwall,O,2012,6,28
69600,6,Patrik Nordwall,O,2012,6,28
69591,4,Patrik Nordwall,O,2012,6,29
92381,3,Björn Antonsson,M,2012,7,3
69586,11,Patrik Nordwall,O,2012,7,5
92199,73,Viktor Klang (√),M,2012,7,5
92362,7,Patrik Nordwall,M,2012,7,6
69585,2,Viktor Klang (√),O,2012,7,7
69581,1,Roland Kuhn,O,2012,7,23
69584,7,Viktor Klang (√),O,2012,7,23
69576,1,Roland Kuhn,O,2012,7,25
69577,2,Viktor Klang (√),O,2012,7,25
92299,2,Peter Vlugter,M,2012,7,27
92338,16,Roland Kuhn,M,2012,7,28
69571,1,Viktor Klang (√),O,2012,7,30
69574,1,Viktor Klang (√),O,2012,7,30
69575,2,Viktor Klang (√),O,2012,7,31
69572,3,Viktor Klang (√),O,2012,8,3
92200,30,Viktor Klang (√),M,2012,8,3
69563,1,Viktor Klang (√),O,2012,8,6
69565,1,Roland Kuhn,O,2012,8,6
69567,3,Viktor Klang (√),O,2012,8,6
69568,3,Viktor Klang (√),O,2012,8,6
69569,2,Viktor Klang (√),O,2012,8,6
69557,4,Viktor Klang (√),O,2012,8,7
69559,1,Viktor Klang (√),O,2012,8,7
69561,1,Viktor Klang (√),O,2012,8,7
69558,9,Roland Kuhn,O,2012,8,8
69560,4,Viktor Klang (√),O,2012,8,8
69562,2,Viktor Klang (√),O,2012,8,8
69550,1,Raymond Roestenburg,O,2012,8,9
69553,2,Roland Kuhn,O,2012,8,9
69554,3,Roland Kuhn,O,2012,8,9
69556,3,Viktor Klang (√),O,2012,8,9
69564,5,Viktor Klang (√),O,2012,8,9
69552,10,Philipp Haller,O,2012,8,10
69400,6,Raymond Roestenburg,O,2012,8,12
69424,1,Raymond Roestenburg,O,2012,8,12
69546,1,Patrik Nordwall,O,2012,8,12
69547,1,Viktor Klang (√),O,2012,8,12
69548,1,Viktor Klang (√),O,2012,8,12
69541,2,Viktor Klang (√),O,2012,8,13
69543,1,Viktor Klang (√),O,2012,8,13
69544,1,Patrik Nordwall,O,2012,8,13
76803,2,Viktor Klang (√),O,2012,8,13
69522,1,Björn Antonsson,O,2012,8,14
69532,2,Viktor Klang (√),O,2012,8,14
69534,4,Björn Antonsson,O,2012,8,14
69536,1,Patrik Nordwall,O,2012,8,14
92363,21,Patrik Nordwall,M,2012,8,14
69526,6,Patrik Nordwall,O,2012,8,15
69521,4,Björn Antonsson,O,2012,8,16
69538,8,Patrik Nordwall,O,2012,8,16
69549,2,Roland Kuhn,O,2012,8,16
69519,1,Björn Antonsson,O,2012,8,17
69524,3,Roland Kuhn,O,2012,8,17
69529,6,Roland Kuhn,O,2012,8,17
92382,16,Björn Antonsson,M,2012,8,17
69459,54,Endre Sándor Varga,O,2012,8,19
69505,1,Björn Antonsson,O,2012,8,19
69510,1,Patrik Nordwall,O,2012,8,19
69514,1,Roland Kuhn,O,2012,8,19
69486,1,Patrik Nordwall,O,2012,8,20
69489,1,Björn Antonsson,O,2012,8,20
69494,2,Patrik Nordwall,O,2012,8,20
69496,2,Patrik Nordwall,O,2012,8,20
69498,1,Patrik Nordwall,O,2012,8,20
69499,1,Patrik Nordwall,O,2012,8,20
69502,7,Patrik Nordwall,O,2012,8,20
69507,5,Roland Kuhn,O,2012,8,20
69512,3,Roland Kuhn,O,2012,8,20
69478,1,Patrik Nordwall,O,2012,8,21
69483,4,Roland Kuhn,O,2012,8,21
69493,4,Björn Antonsson,O,2012,8,21
92339,25,Roland Kuhn,M,2012,8,22
69452,30,Patrik Nordwall,O,2012,8,27
69482,3,Patrik Nordwall,O,2012,8,27
69433,2,Patrik Nordwall,O,2012,8,29
69443,1,Viktor Klang (√),O,2012,8,29
69450,2,Patrik Nordwall,O,2012,8,29
92267,1,Jonas Bonér,M,2012,8,29
69437,3,Patrik Nordwall,O,2012,8,30
69439,1,Björn Antonsson,O,2012,8,30
69440,2,Björn Antonsson,O,2012,8,30
69441,1,Viktor Klang (√),O,2012,8,30
69444,2,Viktor Klang (√),O,2012,8,30
69446,2,Viktor Klang (√),O,2012,8,30
69426,6,Patrik Nordwall,O,2012,8,31
69429,2,Viktor Klang (√),O,2012,8,31
69430,1,Patrik Nordwall,O,2012,8,31
69432,1,Patrik Nordwall,O,2012,8,31
69472,2,Patrik Nordwall,O,2012,8,31
69473,2,Patrik Nordwall,O,2012,8,31
69422,2,Raymond Roestenburg,O,2012,9,2
69409,3,Raymond Roestenburg,O,2012,9,3
69419,2,Raymond Roestenburg,O,2012,9,3
76798,1,Raymond Roestenburg,O,2012,9,3
92316,1,Raymond Roestenburg,M,2012,9,3
69421,4,Raymond Roestenburg,O,2012,9,4
69411,1,Patrik Nordwall,O,2012,9,5
69417,1,Björn Antonsson,O,2012,9,5
69408,1,Viktor Klang (√),O,2012,9,6
69415,3,Viktor Klang (√),O,2012,9,6
69356,1,Viktor Klang (√),O,2012,9,7
69360,1,Viktor Klang (√),O,2012,9,7
69362,1,Viktor Klang (√),O,2012,9,7
69364,1,Viktor Klang (√),O,2012,9,7
69397,1,Viktor Klang (√),O,2012,9,7
69398,1,Viktor Klang (√),O,2012,9,7
69404,1,Viktor Klang (√),O,2012,9,7
69413,4,Patrik Nordwall,O,2012,9,7
69311,9,Viktor Klang (√),O,2012,9,9
69340,2,Viktor Klang (√),O,2012,9,9
69328,1,Patrik Nordwall,O,2012,9,10
69338,2,Patrik Nordwall,O,2012,9,10
69296,1,Patrik Nordwall,O,2012,9,11
69318,1,Viktor Klang (√),O,2012,9,11
69320,5,Björn Antonsson,O,2012,9,11
69325,2,Patrik Nordwall,O,2012,9,11
69063,29,Endre Sándor Varga,O,2012,9,12
69284,2,Björn Antonsson,O,2012,9,12
69285,21,Endre Sándor Varga,O,2012,9,12
69333,6,Björn Antonsson,O,2012,9,12
69275,1,Roland Kuhn,O,2012,9,13
69277,1,Roland Kuhn,O,2012,9,13
69282,1,Roland Kuhn,O,2012,9,13
69267,1,Patrik Nordwall,O,2012,9,17
69298,19,Patrik Nordwall,O,2012,9,17
69256,2,Viktor Klang (√),O,2012,9,18
69257,2,Patrik Nordwall,O,2012,9,18
69258,1,Viktor Klang (√),O,2012,9,18
69260,2,Roland Kuhn,O,2012,9,18
69262,2,Viktor Klang (√),O,2012,9,18
69263,1,Heiko Seeberger,O,2012,9,18
69264,1,Viktor Klang (√),O,2012,9,18
69265,1,Björn Antonsson,O,2012,9,18
69269,5,Björn Antonsson,O,2012,9,18
92383,7,Björn Antonsson,M,2012,9,18
69251,1,Roland Kuhn,O,2012,9,19
69252,3,Viktor Klang (√),O,2012,9,19
69254,1,Viktor Klang (√),O,2012,9,19
69231,1,Roland Kuhn,O,2012,9,20
69248,2,Björn Antonsson,O,2012,9,20
69249,1,Viktor Klang (√),O,2012,9,20
69278,17,Patrik Nordwall,O,2012,9,20
69116,6,Roland Kuhn,O,2012,9,21
69229,3,Patrik Nordwall,O,2012,9,21
69233,5,Patrik Nordwall,O,2012,9,21
69235,1,Viktor Klang (√),O,2012,9,21
69237,4,Björn Antonsson,O,2012,9,21
69240,11,Viktor Klang (√),O,2012,9,21
69242,5,Viktor Klang (√),O,2012,9,21
69245,5,Patrik Nordwall,O,2012,9,21
69225,1,Viktor Klang (√),O,2012,9,22
92268,1,Jonas Bonér,M,2012,9,23
69209,1,Patrik Nordwall,O,2012,9,24
69211,1,Patrik Nordwall,O,2012,9,24
69212,2,Helena Edelson,O,2012,9,24
69213,1,Helena Edelson,O,2012,9,24
69218,1,Patrik Nordwall,O,2012,9,24
69219,1,Patrik Nordwall,O,2012,9,24
69220,6,Viktor Klang (√),O,2012,9,24
69222,4,Viktor Klang (√),O,2012,9,24
69223,3,Viktor Klang (√),O,2012,9,24
69172,5,Björn Antonsson,O,2012,9,25
69204,2,Raymond Roestenburg,O,2012,9,25
69205,3,Viktor Klang (√),O,2012,9,25
69206,9,Peter Vlugter,O,2012,9,25
69208,17,Patrik Nordwall,O,2012,9,25
69210,4,Roland Kuhn,O,2012,9,25
76799,1,Björn Antonsson,O,2012,9,25
69200,1,Patrik Nordwall,O,2012,9,26
69207,3,Patrik Nordwall,O,2012,9,26
92201,67,Viktor Klang (√),M,2012,9,26
92340,19,Roland Kuhn,M,2012,9,26
69171,2,Patrik Nordwall,O,2012,9,27
69185,2,Patrik Nordwall,O,2012,9,27
69193,1,Patrik Nordwall,O,2012,9,27
69195,1,Patrik Nordwall,O,2012,9,27
69197,3,Viktor Klang (√),O,2012,9,27
69199,3,Viktor Klang (√),O,2012,9,27
76797,4,Viktor Klang (√),O,2012,9,27
92300,1,Peter Vlugter,M,2012,9,27
92364,24,Patrik Nordwall,M,2012,9,27
69183,1,Patrik Nordwall,O,2012,9,28
69186,3,Viktor Klang (√),O,2012,9,28
69202,5,Patrik Nordwall,O,2012,9,28
69142,7,Patrik Nordwall,O,2012,9,30
69170,1,Patrik Nordwall,O,2012,10,1
69175,1,Patrik Nordwall,O,2012,10,1
69168,1,Viktor Klang (√),O,2012,10,2
69169,1,Patrik Nordwall,O,2012,10,2
69173,5,Patrik Nordwall,O,2012,10,2
69165,1,Raymond Roestenburg,O,2012,10,3
69166,1,Patrik Nordwall,O,2012,10,3
69147,1,Raymond Roestenburg,O,2012,10,4
69160,1,Viktor Klang (√),O,2012,10,4
69161,1,Roland Kuhn,O,2012,10,4
69162,2,Roland Kuhn,O,2012,10,4
69163,5,Patrik Nordwall,O,2012,10,4
69164,2,Björn Antonsson,O,2012,10,4
69149,1,Roland Kuhn,O,2012,10,5
69150,2,Viktor Klang (√),O,2012,10,5
69158,1,Patrik Nordwall,O,2012,10,5
69156,3,Patrik Nordwall,O,2012,10,6
69154,2,Björn Antonsson,O,2012,10,7
69139,1,Patrik Nordwall,O,2012,10,8
69140,2,Patrik Nordwall,O,2012,10,8
69141,1,Patrik Nordwall,O,2012,10,8
69131,1,Patrik Nordwall,O,2012,10,10
92365,26,Patrik Nordwall,M,2012,10,10
69129,2,Patrik Nordwall,O,2012,10,12
69130,2,Patrik Nordwall,O,2012,10,12
69111,1,Patrik Nordwall,O,2012,10,15
69112,1,Patrik Nordwall,O,2012,10,15
69114,2,Roland Kuhn,O,2012,10,15
69119,2,Patrik Nordwall,O,2012,10,15
69121,1,Patrik Nordwall,O,2012,10,15
69123,2,Viktor Klang (√),O,2012,10,15
69125,2,Viktor Klang (√),O,2012,10,15
69127,5,Viktor Klang (√),O,2012,10,15
69133,3,Björn Antonsson,O,2012,10,15
92384,6,Björn Antonsson,M,2012,10,15
69104,1,Viktor Klang (√),O,2012,10,16
69108,1,Patrik Nordwall,O,2012,10,16
69109,2,Roland Kuhn,O,2012,10,16
92202,49,Viktor Klang (√),M,2012,10,16
68683,179,Viktor Klang (√),O,2012,10,17
68769,164,Viktor Klang (√),O,2012,10,17
68916,123,Viktor Klang (√),O,2012,10,17
69105,1,Patrik Nordwall,O,2012,10,17
76793,1,Patrik Nordwall,O,2012,10,17
69093,1,Patrik Nordwall,O,2012,10,18
69094,1,Viktor Klang (√),O,2012,10,18
69096,1,Roland Kuhn,O,2012,10,18
69097,1,Viktor Klang (√),O,2012,10,18
69101,1,Viktor Klang (√),O,2012,10,18
69103,1,Viktor Klang (√),O,2012,10,18
92269,1,Jonas Bonér,M,2012,10,18
92341,11,Roland Kuhn,M,2012,10,18
69088,1,Patrik Nordwall,O,2012,10,22
69090,1,Viktor Klang (√),O,2012,10,22
76792,1,Endre Sándor Varga,O,2012,10,22
69082,1,Viktor Klang (√),O,2012,10,23
69084,1,Viktor Klang (√),O,2012,10,23
76791,1,Viktor Klang (√),O,2012,10,23
92301,2,Peter Vlugter,M,2012,10,23
69080,1,Patrik Nordwall,O,2012,10,24
69081,1,Patrik Nordwall,O,2012,10,24
69076,1,Patrik Nordwall,O,2012,10,26
76790,1,Patrik Nordwall,O,2012,10,26
69060,1,Patrik Nordwall,O,2012,10,29
69062,1,Viktor Klang (√),O,2012,10,29
69071,1,Viktor Klang (√),O,2012,10,29
69073,1,Viktor Klang (√),O,2012,10,29
76789,1,Björn Antonsson,O,2012,10,29
69059,1,Patrik Nordwall,O,2012,10,30
76787,2,Viktor Klang (√),O,2012,10,30
69055,1,Viktor Klang (√),O,2012,10,31
76788,1,Björn Antonsson,O,2012,10,31
69048,1,Patrik Nordwall,O,2012,11,1
76786,1,Björn Antonsson,O,2012,11,1
69009,2,Viktor Klang (√),O,2012,11,2
69047,1,Viktor Klang (√),O,2012,11,2
69045,2,Viktor Klang (√),O,2012,11,3
69004,1,Viktor Klang (√),O,2012,11,4
69024,1,Roland Kuhn,O,2012,11,5
69027,1,Peter Vlugter,O,2012,11,5
69032,1,Roland Kuhn,O,2012,11,5
69034,1,Roland Kuhn,O,2012,11,5
69036,1,Roland Kuhn,O,2012,11,5
69037,1,Peter Vlugter,O,2012,11,5
69039,1,Roland Kuhn,O,2012,11,5
69041,2,Patrik Nordwall,O,2012,11,5
69043,1,Roland Kuhn,O,2012,11,5
69023,2,Roland Kuhn,O,2012,11,6
69026,1,Roland Kuhn,O,2012,11,6
69029,1,Roland Kuhn,O,2012,11,6
69031,2,Roland Kuhn,O,2012,11,6
69008,1,Viktor Klang (√),O,2012,11,7
69020,1,Viktor Klang (√),O,2012,11,7
69006,2,Björn Antonsson,O,2012,11,11
68983,17,Viktor Klang (√),O,2012,11,14
68990,1,Patrik Nordwall,O,2012,11,14
68991,1,Viktor Klang (√),O,2012,11,14
68993,1,Viktor Klang (√),O,2012,11,14
68994,1,Roland Kuhn,O,2012,11,14
68996,1,Roland Kuhn,O,2012,11,14
68998,3,Roland Kuhn,O,2012,11,14
69000,1,Viktor Klang (√),O,2012,11,14
68987,1,Viktor Klang (√),O,2012,11,15
76785,1,Viktor Klang (√),O,2012,11,15
68938,7,Viktor Klang (√),O,2012,11,16
68981,1,Viktor Klang (√),O,2012,11,16
68973,2,Viktor Klang (√),O,2012,11,17
68965,2,Patrik Nordwall,O,2012,11,20
68976,2,Patrik Nordwall,O,2012,11,20
68979,2,Viktor Klang (√),O,2012,11,20
68940,1,Viktor Klang (√),O,2012,11,21
68941,1,Viktor Klang (√),O,2012,11,21
68942,1,Viktor Klang (√),O,2012,11,21
68943,1,Viktor Klang (√),O,2012,11,21
68970,1,Viktor Klang (√),O,2012,11,21
68971,1,Viktor Klang (√),O,2012,11,21
68972,1,Viktor Klang (√),O,2012,11,21
76784,1,Viktor Klang (√),O,2012,11,21
68944,3,Rich Dougherty,O,2012,11,22
68953,2,Roland Kuhn,O,2012,11,22
68958,5,Patrik Nordwall,O,2012,11,22
68961,1,Patrik Nordwall,O,2012,11,22
68962,1,Rich Dougherty,O,2012,11,22
68964,1,Rich Dougherty,O,2012,11,22
68967,2,Roland Kuhn,O,2012,11,22
76783,6,Viktor Klang (√),O,2012,11,23
68946,1,Raymond Roestenburg,O,2012,11,24
69011,10,Patrik Nordwall,O,2012,11,24
76782,1,Raymond Roestenburg,O,2012,11,24
68937,1,Patrik Nordwall,O,2012,11,25
68950,1,Björn Antonsson,O,2012,11,25
68952,1,Patrik Nordwall,O,2012,11,25
68955,1,Patrik Nordwall,O,2012,11,25
68918,4,Viktor Klang (√),O,2012,11,26
92203,18,Viktor Klang (√),M,2012,11,26
92385,9,Björn Antonsson,M,2012,11,26
68880,1,Björn Antonsson,O,2012,11,27
68915,3,Roland Kuhn,O,2012,11,27
76779,1,Björn Antonsson,O,2012,11,27
68930,3,Roland Kuhn,O,2012,11,28
76780,1,Viktor Klang (√),O,2012,11,28
76781,2,Patrik Nordwall,O,2012,11,28
92342,13,Roland Kuhn,M,2012,11,28
68928,1,Viktor Klang (√),O,2012,11,29
67866,245,Viktor Klang (√),O,2012,11,30
67934,245,Viktor Klang (√),O,2012,11,30
76778,1,Viktor Klang (√),O,2012,11,30
92366,9,Patrik Nordwall,M,2012,11,30
68922,1,Patrik Nordwall,O,2012,12,3
68909,1,Patrik Nordwall,O,2012,12,4
68910,1,Rich Dougherty,O,2012,12,4
68912,1,Patrik Nordwall,O,2012,12,4
68914,1,Patrik Nordwall,O,2012,12,4
76777,1,Rich Dougherty,O,2012,12,4
68899,4,Patrik Nordwall,O,2012,12,5
68906,4,Patrik Nordwall,O,2012,12,5
68908,1,Patrik Nordwall,O,2012,12,5
92213,1,Rich Dougherty,M,2012,12,5
68886,1,Rich Dougherty,O,2012,12,6
68895,1,Roland Kuhn,O,2012,12,6
68897,1,Roland Kuhn,O,2012,12,6
68898,1,Rich Dougherty,O,2012,12,6
68901,2,Patrik Nordwall,O,2012,12,6
76774,1,Roland Kuhn,O,2012,12,6
76776,1,Rich Dougherty,O,2012,12,6
68890,2,Raymond Roestenburg,O,2012,12,7
68892,2,Raymond Roestenburg,O,2012,12,7
76772,1,Patrik Nordwall,O,2012,12,9
76771,1,Patrik Nordwall,O,2012,12,10
68883,1,Viktor Klang (√),O,2012,12,11
68881,2,Patrik Nordwall,O,2012,12,12
76770,1,Viktor Klang (√),O,2012,12,13
68876,1,Viktor Klang (√),O,2012,12,14
68877,1,Viktor Klang (√),O,2012,12,14
68878,1,Viktor Klang (√),O,2012,12,14
76775,6,Viktor Klang (√),O,2012,12,14
68873,1,Roland Kuhn,O,2012,12,15
68875,1,Roland Kuhn,O,2012,12,15
68829,1,Roland Kuhn,O,2012,12,17
68851,1,Viktor Klang (√),O,2012,12,17
68854,1,Viktor Klang (√),O,2012,12,17
68860,1,Viktor Klang (√),O,2012,12,17
68865,1,Roland Kuhn,O,2012,12,17
68867,1,Viktor Klang (√),O,2012,12,17
68868,1,Patrik Nordwall,O,2012,12,17
76767,1,Viktor Klang (√),O,2012,12,17
76768,1,Viktor Klang (√),O,2012,12,17
76769,1,Viktor Klang (√),O,2012,12,17
68843,1,Viktor Klang (√),O,2012,12,18
68845,1,Viktor Klang (√),O,2012,12,18
68846,1,Viktor Klang (√),O,2012,12,18
68848,1,Viktor Klang (√),O,2012,12,18
68849,1,Viktor Klang (√),O,2012,12,18
68852,1,Viktor Klang (√),O,2012,12,18
68858,1,Viktor Klang (√),O,2012,12,18
68840,1,Viktor Klang (√),O,2012,12,19
68842,1,Patrik Nordwall,O,2012,12,19
68857,2,Björn Antonsson,O,2012,12,19
92386,8,Björn Antonsson,M,2012,12,19
68823,1,Björn Antonsson,O,2012,12,20
68826,1,Roland Kuhn,O,2012,12,20
68828,1,Roland Kuhn,O,2012,12,20
68831,1,Patrik Nordwall,O,2012,12,20
68833,1,Viktor Klang (√),O,2012,12,20
68837,1,Patrik Nordwall,O,2012,12,20
68839,1,Endre Sándor Varga,O,2012,12,20
76766,1,Endre Sándor Varga,O,2012,12,20
92367,12,Patrik Nordwall,M,2012,12,20
68806,1,Patrik Nordwall,O,2012,12,21
68807,1,Patrik Nordwall,O,2012,12,21
68817,2,Viktor Klang (√),O,2012,12,21
68818,1,Patrik Nordwall,O,2012,12,21
68820,1,Björn Antonsson,O,2012,12,21
68825,1,Patrik Nordwall,O,2012,12,21
76763,1,Viktor Klang (√),O,2012,12,21
76764,1,Roland Kuhn,O,2012,12,21
92225,1,drewhk,M,2012,12,21
92343,17,Roland Kuhn,M,2012,12,23
68792,1,Viktor Klang (√),O,2012,12,26
68794,1,Viktor Klang (√),O,2012,12,26
92204,24,Viktor Klang (√),M,2012,12,26
68809,2,Viktor Klang (√),O,2012,12,28
76702,27,Roland Kuhn,O,2012,12,31
68804,1,Patrik Nordwall,O,2013,1,2
68795,2,Endre Sándor Varga,O,2013,1,3
68798,7,Roland Kuhn,O,2013,1,3
68801,1,Endre Sándor Varga,O,2013,1,3
68803,1,Endre Sándor Varga,O,2013,1,3
76760,1,Patrik Nordwall,O,2013,1,3
68786,1,Patrik Nordwall,O,2013,1,4
76756,1,Endre Sándor Varga,O,2013,1,4
76757,1,Patrik Nordwall,O,2013,1,4
76758,1,Patrik Nordwall,O,2013,1,4
76759,2,Endre Sándor Varga,O,2013,1,4
68775,1,Viktor Klang (√),O,2013,1,8
68777,1,Patrik Nordwall,O,2013,1,8
68779,1,Endre Sándor Varga,O,2013,1,8
68781,1,Patrik Nordwall,O,2013,1,8
76755,1,Patrik Nordwall,O,2013,1,8
68773,1,Patrik Nordwall,O,2013,1,9
68774,1,Patrik Nordwall,O,2013,1,9
76754,1,Mathias,O,2013,1,9
92226,16,drewhk,M,2013,1,9
68748,1,Patrik Nordwall,O,2013,1,10
68763,1,Patrik Nordwall,O,2013,1,10
68766,1,Patrik Nordwall,O,2013,1,10
76749,1,Endre Sándor Varga,O,2013,1,10
76751,1,Roland Kuhn,O,2013,1,10
76753,1,Roland Kuhn,O,2013,1,10
68759,1,Roland Kuhn,O,2013,1,11
76748,1,Mathias,O,2013,1,11
68758,1,Roland Kuhn,O,2013,1,12
68557,75,drewhk,O,2013,1,13
68756,1,Endre Sándor Varga,O,2013,1,13
68752,1,Endre Sándor Varga,O,2013,1,14
68753,2,Endre Sándor Varga,O,2013,1,14
76718,1,Endre Sándor Varga,O,2013,1,14
76733,1,Patrik Nordwall,O,2013,1,14
76742,1,Patrik Nordwall,O,2013,1,14
76743,1,Endre Sándor Varga,O,2013,1,14
76744,1,Roland Kuhn,O,2013,1,14
76746,2,Patrik Nordwall,O,2013,1,14
76740,34,Johannes Rudolph,O,2013,1,15
68724,2,Björn Antonsson,O,2013,1,17
68735,1,Endre Sándor Varga,O,2013,1,17
76730,1,Endre Sándor Varga,O,2013,1,17
76734,2,Björn Antonsson,O,2013,1,17
76735,1,Viktor Klang (√),O,2013,1,17
76737,1,Patrik Nordwall,O,2013,1,17
76738,1,Patrik Nordwall,O,2013,1,17
68722,1,Björn Antonsson,O,2013,1,18
68717,1,Viktor Klang (√),O,2013,1,20
76729,1,Björn Antonsson,O,2013,1,21
76731,1,Endre Sándor Varga,O,2013,1,21
68705,1,Viktor Klang (√),O,2013,1,22
68706,1,Viktor Klang (√),O,2013,1,22
76728,1,Rich Dougherty,O,2013,1,22
68680,1,Patrik Nordwall,O,2013,1,23
68681,3,Roland Kuhn,O,2013,1,23
68694,1,Roland Kuhn,O,2013,1,23
68696,1,Roland Kuhn,O,2013,1,23
76719,1,Endre Sándor Varga,O,2013,1,23
76724,1,Roland Kuhn,O,2013,1,23
68647,1,Björn Antonsson,O,2013,1,24
68664,1,Rich Dougherty,O,2013,1,24
68667,1,Björn Antonsson,O,2013,1,24
68669,29,Patrik Nordwall,O,2013,1,24
68670,2,drewhk,O,2013,1,24
68672,1,Roland Kuhn,O,2013,1,24
68673,1,Johannes Rudolph,O,2013,1,24
68678,1,Endre Sándor Varga,O,2013,1,24
76723,3,Johannes Rudolph,O,2013,1,24
92214,5,Rich Dougherty,M,2013,1,24
68650,1,Patrik Nordwall,O,2013,1,25
68666,1,Johannes Rudolph,O,2013,1,25
68652,1,Viktor Klang (√),O,2013,1,27
68653,1,Patrik Nordwall,O,2013,1,27
68657,1,Roland Kuhn,O,2013,1,27
68662,2,Roland Kuhn,O,2013,1,27
76715,1,Viktor Klang (√),O,2013,1,27
76725,5,Viktor Klang (√),O,2013,1,27
68638,1,Viktor Klang (√),O,2013,1,28
68640,1,Rich Dougherty,O,2013,1,28
68641,1,Patrik Nordwall,O,2013,1,28
68643,1,Viktor Klang (√),O,2013,1,28
68644,1,Patrik Nordwall,O,2013,1,28
68645,1,Patrik Nordwall,O,2013,1,28
76711,1,Endre Sándor Varga,O,2013,1,28
76717,2,Viktor Klang (√),O,2013,1,28
68628,1,Patrik Nordwall,O,2013,1,29
68631,1,Endre Sándor Varga,O,2013,1,29
68633,1,Viktor Klang (√),O,2013,1,29
68635,1,Patrik Nordwall,O,2013,1,29
68637,2,Viktor Klang (√),O,2013,1,29
92387,5,Björn Antonsson,M,2013,1,29
68608,18,Endre Sándor Varga,O,2013,1,30
76703,1,Viktor Klang (√),O,2013,1,30
76704,1,Rich Dougherty,O,2013,1,30
76705,3,Patrik Nordwall,O,2013,1,30
76707,1,Björn Antonsson,O,2013,1,30
68604,1,Roland Kuhn,O,2013,1,31
68605,1,Roland Kuhn,O,2013,1,31
68607,1,Roland Kuhn,O,2013,1,31
76701,1,Patrik Nordwall,O,2013,1,31
92205,16,Viktor Klang (√),M,2013,1,31
92344,45,Roland Kuhn,M,2013,1,31
92368,39,Patrik Nordwall,M,2013,1,31
68428,2,Roland Kuhn,O,2013,2,1
76700,1,Patrik Nordwall,O,2013,2,1
76699,2,Roland Kuhn,O,2013,2,3
68593,1,Patrik Nordwall,O,2013,2,4
68594,1,Patrik Nordwall,O,2013,2,4
68597,1,Patrik Nordwall,O,2013,2,4
68598,1,Patrik Nordwall,O,2013,2,4
68599,2,Björn Antonsson,O,2013,2,5
68586,2,Patrik Nordwall,O,2013,2,7
68591,2,Patrik Nordwall,O,2013,2,7
68587,1,Viktor Klang (√),O,2013,2,8
68588,1,Björn Antonsson,O,2013,2,8
68589,1,Patrik Nordwall,O,2013,2,8
68583,1,Rich Dougherty,O,2013,2,10
68584,1,Roland Kuhn,O,2013,2,10
76692,1,Rich Dougherty,O,2013,2,10
76694,1,Rich Dougherty,O,2013,2,10
76695,1,Roland Kuhn,O,2013,2,10
68573,1,Rich Dougherty,O,2013,2,11
68574,1,Roland Kuhn,O,2013,2,11
68579,1,Björn Antonsson,O,2013,2,11
76693,1,Patrik Nordwall,O,2013,2,11
