PQID,CMT,UNM,CAT,Year,Month,Day
92457,52,Jonas Bonér,M,2011,4,20
92286,44,Peter Vlugter,M,2011,4,26
92253,10,Jonas Bonér,M,2011,4,29
92184,65,Viktor Klang (√),M,2011,4,30
92323,15,Roland Kuhn,M,2011,4,30
92151,15,Derek Williams,M,2011,5,3
92488,1,Debasish Ghosh,M,2011,5,4
92462,45,Patrik Nordwall,M,2011,5,15
92185,105,Viktor Klang (√),M,2011,5,20
92145,8,Scott Clasen @scottclasen,M,2011,5,25
92287,41,Peter Vlugter,M,2011,5,25
92410,1,Martin Krasser,M,2011,5,25
92458,42,Jonas Bonér,M,2011,5,25
92254,4,Jonas Bonér,M,2011,5,29
92324,26,Roland Kuhn,M,2011,5,31
92152,3,Derek Williams,M,2011,6,13
92325,20,Roland Kuhn,M,2011,6,15
92489,6,Debasish Ghosh,M,2011,6,15
92186,50,Viktor Klang (√),M,2011,6,16
92459,25,Jonas Bonér,M,2011,6,22
92255,22,Jonas Bonér,M,2011,6,23
92411,5,Martin Krasser,M,2011,6,28
92463,2,Patrik Nordwall,M,2011,6,29
92288,9,Peter Vlugter,M,2011,6,30
92469,9,Peter Veentjer,M,2011,6,30
92464,27,Patrik Nordwall,M,2011,7,4
92256,18,Jonas Bonér,M,2011,7,5
92289,21,Peter Vlugter,M,2011,7,11
92470,47,Peter Veentjer,M,2011,7,11
92187,58,Viktor Klang (√),M,2011,7,12
92412,5,Martin Krasser,M,2011,7,16
70787,1,Johannes Rudolph,O,2011,7,26
92153,17,Derek Williams,M,2011,7,26
92326,9,Roland Kuhn,M,2011,7,30
92490,3,Debasish Ghosh,M,2011,7,30
92154,15,Derek Williams,M,2011,8,14
92327,8,Roland Kuhn,M,2011,8,14
92257,66,Jonas Bonér,M,2011,8,23
92413,2,Martin Krasser,M,2011,8,26
92290,7,Peter Vlugter,M,2011,8,29
92465,9,Patrik Nordwall,M,2011,8,29
92471,34,Peter Veentjer,M,2011,8,29
92188,41,Viktor Klang (√),M,2011,8,31
69817,21,Roland Kuhn,O,2011,9,14
92414,2,Martin Krasser,M,2011,9,14
92328,18,Roland Kuhn,M,2011,9,16
92189,73,Viktor Klang (√),M,2011,9,17
92291,22,Peter Vlugter,M,2011,9,27
92258,42,Jonas Bonér,M,2011,9,28
92466,2,Patrik Nordwall,M,2011,9,30
92292,14,Peter Vlugter,M,2011,10,20
92467,8,Patrik Nordwall,M,2011,10,20
92190,111,Viktor Klang (√),M,2011,10,24
92259,39,Jonas Bonér,M,2011,10,26
92329,32,Roland Kuhn,M,2011,10,26
92155,2,Derek Williams,M,2011,10,28
70749,21,Viktor Klang (√),O,2011,10,29
70747,6,Roland Kuhn,O,2011,10,30
70741,4,Viktor Klang (√),O,2011,11,3
92156,1,Derek Williams,M,2011,11,5
70729,4,Peter Vlugter,O,2011,11,9
70724,1,Henrik Engstrom,O,2011,11,10
70733,3,Henrik Engstrom,O,2011,11,10
70719,3,Patrik Nordwall,O,2011,11,15
70708,10,Roland Kuhn,O,2011,11,16
92468,3,Patrik Nordwall,M,2011,11,18
70698,9,Patrik Nordwall,O,2011,11,19
70684,31,Roland Kuhn,O,2011,11,20
70696,3,Roland Kuhn,O,2011,11,20
70694,1,Patrik Nordwall,O,2011,11,21
70704,4,Viktor Klang (√),O,2011,11,21
70681,5,Henrik Engstrom,O,2011,11,23
70675,2,Henrik Engstrom,O,2011,11,24
70678,4,Patrik Nordwall,O,2011,11,24
70672,2,Viktor Klang (√),O,2011,11,25
70667,2,Patrik Nordwall,O,2011,11,27
