0,76094,11067,0,52,3,0.39,0.61,0.87
0,76094,11067,0,57,1,0.56,0.44,0.03
0,76094,11067,0,46,2,0.4,0.6,0.14
0,76094,11067,0,52,2,0.5,0.5,0.33
0,76094,11067,0,40,3,0.52,0.48,0.69
0,76094,76094,1,58,2,0.32,0.68,0.17
0,76094,11067,0,57,3,0.43,0.57,0.67
0,76094,11067,0,2,3,0.49,0.51,0.52
0,76094,11067,0,52,1,0.63,0.37,0.17
0,76094,72102,0,35,3,0.35,0.65,0.57
0,76094,72102,0,26,1,0.5,0.5,0.5
0,76094,72102,0,33,2,0.38,0.62,0.28
0,76094,72102,0,45,2,0.4,0.6,0.44
0,76094,72102,0,52,2,0.38,0.62,0.46
0,76094,72102,0,48,3,0.39,0.61,0.74
0,76094,76094,1,16,3,0.22,0.78,0.59
0,19286,11705,0,52,2,0.5,0.5,0.28
0,72102,11067,0,56,2,0.29,0.71,0.16
0,72102,11067,0,39,2,0.49,0.51,0.2
0,72102,11067,0,11,2,0.36,0.64,0.15
0,72102,72102,1,52,3,0.26,0.74,0.74
0,72102,72102,1,44,2,0.32,0.68,0.11
0,72102,76094,0,13,3,0.25,0.75,0.83
0,72102,72102,1,3,2,0.4,0.6,0.25
0,72102,72102,1,20,2,0.36,0.64,0.07
0,72102,11067,0,45,2,0.36,0.64,0.34
0,72102,72102,1,32,2,0.31,0.69,0.16
0,76094,11067,0,20,2,0.5,0.5,0.37
0,76094,30394,0,2,2,0.49,0.51,0.12
0,76094,30394,0,1,3,0.41,0.59,0.83
0,76094,76094,1,4,3,0.37,0.63,0.66
0,76094,76094,1,28,3,0.45,0.55,0.51
0,76094,76094,1,40,2,0.34,0.66,0.19
0,76094,30394,0,16,2,0.48,0.52,0.19
0,76094,76094,1,9,2,0.2,0.8,0.02
0,76094,11067,0,41,1,0.58,0.42,0.3
0,76094,11705,0,52,2,0.36,0.64,0.23
0,37255,11067,0,18,2,0.49,0.51,0.42
0,11519,30394,0,12,2,0.24,0.76,0.2
